|[u'taxa_crossover', 0.2]|,|[u'taxa_elitismo', 0.2]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.6]|,|[u'tipo_mutacao', 1]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 100]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Melhores,3521.0,3501.0,3539.0,3539.0,3455.0,3455.0,3455.0,3544.0,3520.0,3532.0,3544.0,3455.0,3455.0,3498.0,3467.0,3360.0,3450.0,3450.0,3450.0,3454.0,3447.0,3400.0,3400.0,3455.0,3395.0,3363.0,3370.0,3370.0,3370.0,3370.0,3233.0,3300.0,3372.0,3372.0,3372.0,3372.0,3364.0,3379.0,3528.0,3528.0,3488.0,3504.0,3478.0,3478.0,3575.0,3598.0,3579.0,3579.0,3579.0,3579.0,3550.0,3570.0,3544.0,3579.0,3593.0,3591.0,3676.0,3676.0,3609.0,3581.0,3599.0,3517.0,3517.0,3517.0,3517.0,3517.0,3506.0,3432.0,3548.0,3548.0,3548.0,3514.0,3488.0,3558.0,3470.0,3427.0,3427.0,3427.0,3427.0,3427.0,3427.0,3427.0,3452.0,3452.0,3432.0,3432.0,3455.0,3455.0,3447.0,3327.0,3327.0,3327.0,3317.0,3366.0,3437.0,3512.0,3550.0,3388.0,3475.0
Piores,4382.0,4327.0,4408.0,4543.0,4343.0,4388.0,4425.0,4371.0,4328.0,4360.0,4370.0,4370.0,4313.0,4311.0,4248.0,4273.0,4193.0,4146.0,4550.0,4542.0,4469.0,4461.0,4111.0,4195.0,4230.0,4327.0,4319.0,4242.0,4315.0,4300.0,4300.0,4405.0,4401.0,4209.0,4198.0,4278.0,4146.0,4150.0,4255.0,4395.0,4271.0,4424.0,4391.0,4306.0,4340.0,4367.0,4370.0,4592.0,4646.0,4420.0,4401.0,4350.0,4260.0,4284.0,4413.0,4270.0,4468.0,4405.0,4341.0,4393.0,4378.0,4530.0,4378.0,4327.0,4387.0,4432.0,4377.0,4294.0,4294.0,4407.0,4323.0,4078.0,4198.0,4406.0,4392.0,4308.0,4308.0,4299.0,4290.0,4155.0,4389.0,4394.0,4394.0,4485.0,4518.0,4530.0,4530.0,4533.0,4582.0,4263.0,4296.0,4322.0,4192.0,4255.0,4247.0,4276.0,4257.0,4430.0,4243.0
Média,4013.0900000000001,3951.9400000000001,3900.96,3907.0500000000002,3892.1700000000001,3880.0799999999999,3905.27,3855.8000000000002,3804.1900000000001,3823.9099999999999,3814.4200000000001,3806.6500000000001,3880.1199999999999,3851.1999999999998,3796.0599999999999,3758.75,3728.6100000000001,3753.8099999999999,3792.1199999999999,3768.6999999999998,3734.4200000000001,3702.0700000000002,3706.1599999999999,3740.9200000000001,3813.04,3803.54,3774.71,3798.29,3829.5700000000002,3866.8800000000001,3843.9200000000001,3871.8200000000002,3789.5799999999999,3822.4499999999998,3800.9299999999998,3759.3200000000002,3797.8600000000001,3823.5799999999999,3846.4200000000001,3879.27,3863.8899999999999,3847.0999999999999,3858.8000000000002,3855.4499999999998,3894.52,3882.2199999999998,3940.8600000000001,3963.6399999999999,3914.5500000000002,3854.1900000000001,3887.1900000000001,3896.3899999999999,3854.5300000000002,3859.79,3855.4400000000001,3928.4499999999998,3953.2600000000002,3953.46,3948.8000000000002,3919.4000000000001,3907.8299999999999,3891.4899999999998,3933.9699999999998,3946.5599999999999,3902.29,3865.2600000000002,3796.8400000000001,3772.3899999999999,3803.8800000000001,3801.3699999999999,3778.02,3846.3499999999999,3821.3600000000001,3797.8400000000001,3811.8800000000001,3864.0500000000002,3855.4499999999998,3891.7199999999998,3840.3099999999999,3853.6799999999998,3872.23,3869.96,3838.9099999999999,3906.3899999999999,3828.98,3840.5100000000002,3799.4699999999998,3795.5,3807.6700000000001,3717.5,3751.1100000000001,3778.0300000000002,3769.3800000000001,3695.9099999999999,3741.1900000000001,3795.7600000000002,3792.6399999999999,3838.8899999999999,3808.9299999999998
Desvio Padrão,198.09999999999999,234.56999999999999,233.19,238.81,220.69999999999999,231.09999999999999,253.59,234.72999999999999,245.19,217.83000000000001,188.94999999999999,203.91999999999999,167.55000000000001,168.88999999999999,188.33000000000001,211.68000000000001,189.58000000000001,181.15000000000001,215.25,231.84,225.68000000000001,236.55000000000001,150.66999999999999,170.06999999999999,196.97,226.56999999999999,191.90000000000001,195.84,192.36000000000001,159.96000000000001,207.72,255.02000000000001,236.08000000000001,183.77000000000001,186.18000000000001,199.40000000000001,172.74000000000001,233.12,220.25,220.38999999999999,237.28,220.78999999999999,233.83000000000001,187.33000000000001,166.30000000000001,189.61000000000001,205.09,248.16,216.72999999999999,214.38999999999999,183.96000000000001,210.88,186.84,160.09,178.65000000000001,156.91,181.63999999999999,173.59,207.66,198.56999999999999,167.19,181.78999999999999,181.38,185.86000000000001,219.12,236.53,268.88999999999999,182.80000000000001,169.66,152.47999999999999,152.68000000000001,176.38,194.0,215.18000000000001,248.49000000000001,214.65000000000001,178.13,198.52000000000001,196.49000000000001,179.43000000000001,247.47,218.83000000000001,229.37,267.81999999999999,227.93000000000001,217.63,207.22,187.59999999999999,214.68000000000001,189.03,210.41999999999999,240.09,235.62,225.25999999999999,241.59999999999999,164.37,153.28,205.09,208.59
Melhor Fitness,3233.0
Melhor Individuo,|['40', '52', '#', '63', '39', '13', '50', '#', '21', '37', '#', '25', '45', '34', '2', '56', '9', '26', '49', '55', '#', '47', '61', '22', '7', '16', '4', '#', '53', '29', '62', '3', '51', '14', '54', '35', '#', '48', '12', '57', '31', '32', '59', '43', '27', '28', '44', '5', '41', '17', '24', '38', '36', '42', '19', '20', '60', '11', '18', '65', '15', '23', '33', '6', '46', '#', '64', '30', '#', '8', '58', '10']|
