|[u'taxa_crossover', 0.2]|,|[u'taxa_elitismo', 0.2]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.6]|,|[u'tipo_mutacao', 2]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 200]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Melhores,3170.0,3170.0,3129.0,3129.0,3129.0,3129.0,3129.0,3129.0,3129.0,3129.0,3114.0,3063.0,3054.0,2996.0,2905.0,2905.0,2905.0,2905.0,2905.0,2833.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2757.0,2757.0,2757.0,2731.0,2731.0,2731.0,2731.0,2676.0,2676.0,2676.0,2673.0,2672.0,2622.0,2613.0,2613.0,2613.0,2544.0,2544.0,2544.0,2544.0,2544.0,2544.0,2544.0,2541.0,2466.0,2466.0,2466.0,2466.0,2454.0,2440.0,2440.0,2440.0,2440.0,2400.0,2400.0,2388.0,2388.0,2388.0,2332.0,2332.0,2332.0,2332.0,2332.0,2332.0,2324.0,2324.0,2324.0,2297.0,2297.0,2297.0,2297.0,2297.0,2284.0,2284.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2258.0,2257.0,2257.0,2172.0,2172.0,2172.0,2172.0,2172.0,2172.0,2172.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2144.0,2137.0,2137.0,2137.0,2137.0,2137.0,2130.0,2130.0,2130.0,2130.0,2130.0,2130.0,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2128.0,2128.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0,2123.0,2123.0,2122.0,2121.0,2118.0,2118.0,2118.0,2117.0,2117.0,2117.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2112.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2110.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2103.0,2103.0,2103.0,2103.0,2103.0,2103.0,2103.0
Piores,4305.0,4425.0,4305.0,4305.0,4305.0,4305.0,4305.0,3891.0,3891.0,3891.0,3768.0,3752.0,3640.0,3589.0,3729.0,3729.0,3729.0,3554.0,3535.0,3505.0,3291.0,3376.0,3343.0,3321.0,3321.0,3321.0,3211.0,3211.0,3248.0,3248.0,3132.0,3132.0,3058.0,3003.0,2933.0,2920.0,2920.0,2974.0,2928.0,2928.0,2928.0,2928.0,2910.0,2910.0,2910.0,2910.0,2922.0,2922.0,2905.0,2868.0,2862.0,2782.0,2782.0,2794.0,2784.0,2822.0,2822.0,2727.0,2727.0,2727.0,2727.0,2731.0,2789.0,2789.0,2789.0,2789.0,2789.0,2789.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2772.0,2727.0,2846.0,2725.0,2702.0,2702.0,2507.0,2570.0,2570.0,2570.0,2570.0,2570.0,2495.0,2479.0,2479.0,2479.0,2484.0,2426.0,2426.0,2390.0,2416.0,2458.0,2533.0,2533.0,2533.0,2366.0,2398.0,2458.0,2458.0,2392.0,2337.0,2432.0,2468.0,2388.0,2337.0,2341.0,2341.0,2337.0,2359.0,2384.0,2355.0,2355.0,2406.0,2434.0,2406.0,2436.0,2406.0,2406.0,2259.0,2351.0,2351.0,2432.0,2432.0,2432.0,2311.0,2311.0,2311.0,2294.0,2322.0,2322.0,2322.0,2322.0,2307.0,2307.0,2332.0,2332.0,2339.0,2289.0,2282.0,2282.0,2337.0,2295.0,2282.0,2282.0,2306.0,2299.0,2282.0,2282.0,2296.0,2277.0,2277.0,2277.0,2305.0,2305.0,2277.0,2277.0,2277.0,2235.0,2264.0,2218.0,2247.0,2294.0,2371.0,2371.0,2371.0,2241.0,2225.0,2225.0,2252.0,2252.0,2279.0,2224.0,2298.0,2298.0,2276.0,2276.0,2258.0,2249.0,2301.0,2301.0,2301.0,2301.0,2258.0,2258.0,2241.0,2244.0,2271.0,2271.0,2262.0,2306.0,2258.0,2258.0
Média,3755.4699999999998,3698.9400000000001,3609.25,3542.1199999999999,3473.4499999999998,3377.8299999999999,3309.6100000000001,3292.27,3251.6399999999999,3249.3800000000001,3223.71,3204.6799999999998,3193.3600000000001,3186.1399999999999,3181.8699999999999,3183.5999999999999,3153.9099999999999,3109.1799999999998,3073.7399999999998,3028.3000000000002,2990.8899999999999,2968.52,2979.7399999999998,2931.71,2924.8099999999999,2891.96,2868.46,2860.8200000000002,2844.7199999999998,2829.5700000000002,2818.0900000000001,2810.7800000000002,2795.98,2776.1300000000001,2777.9200000000001,2760.7600000000002,2750.25,2734.9400000000001,2722.77,2715.7399999999998,2717.04,2703.4000000000001,2686.71,2688.3200000000002,2681.8400000000001,2673.1999999999998,2647.5799999999999,2638.1199999999999,2607.4499999999998,2592.25,2581.3499999999999,2573.4699999999998,2560.6300000000001,2562.9899999999998,2546.1199999999999,2539.8099999999999,2531.8299999999999,2517.46,2506.02,2499.8800000000001,2488.3000000000002,2478.48,2485.4099999999999,2464.2800000000002,2452.9299999999998,2433.9000000000001,2436.2600000000002,2435.4200000000001,2410.4400000000001,2416.7199999999998,2400.1100000000001,2383.2199999999998,2389.0799999999999,2380.8299999999999,2392.96,2379.8800000000001,2378.1799999999998,2373.3800000000001,2364.1799999999998,2366.6999999999998,2344.0700000000002,2329.3899999999999,2324.4099999999999,2307.79,2310.3499999999999,2318.3000000000002,2308.1599999999999,2309.9499999999998,2298.2199999999998,2289.71,2284.7399999999998,2274.7399999999998,2276.1199999999999,2279.7800000000002,2274.8000000000002,2280.5,2272.8299999999999,2272.6399999999999,2271.5300000000002,2269.5700000000002,2259.3699999999999,2245.5300000000002,2228.8600000000001,2217.21,2219.8400000000001,2212.3299999999999,2207.8899999999999,2198.9699999999998,2198.3499999999999,2192.0500000000002,2189.0599999999999,2172.8600000000001,2172.1100000000001,2175.54,2171.2399999999998,2172.6199999999999,2165.0799999999999,2161.0,2166.27,2172.8600000000001,2170.1199999999999,2161.0900000000001,2162.3200000000002,2156.5999999999999,2156.6799999999998,2148.54,2152.3699999999999,2155.04,2158.6300000000001,2146.6700000000001,2142.6799999999998,2140.0500000000002,2142.0900000000001,2139.8499999999999,2142.29,2151.8400000000001,2146.4400000000001,2144.7199999999998,2139.6999999999998,2143.3200000000002,2138.9200000000001,2146.2800000000002,2140.2399999999998,2140.7199999999998,2140.54,2145.25,2146.0100000000002,2144.21,2145.52,2137.04,2140.3099999999999,2142.3699999999999,2150.1500000000001,2138.6799999999998,2135.71,2139.8299999999999,2132.2399999999998,2138.96,2140.77,2141.3800000000001,2136.77,2137.8800000000001,2131.79,2132.54,2126.46,2128.4699999999998,2123.8000000000002,2123.0599999999999,2124.23,2127.3000000000002,2138.4400000000001,2127.3200000000002,2126.2399999999998,2120.6900000000001,2120.7199999999998,2118.8299999999999,2123.4400000000001,2123.98,2122.6300000000001,2127.23,2125.9899999999998,2127.5599999999999,2126.6999999999998,2128.25,2125.5100000000002,2118.5799999999999,2116.75,2115.0700000000002,2120.1599999999999,2119.5,2120.8000000000002,2115.0799999999999,2116.1900000000001,2116.0900000000001,2114.27,2117.7399999999998,2119.8499999999999,2114.4699999999998,2121.2399999999998
Desvio Padrão,220.66,265.39999999999998,241.41999999999999,237.99000000000001,255.81,221.97999999999999,191.24000000000001,168.12,153.59999999999999,160.88999999999999,132.75999999999999,138.94999999999999,130.91999999999999,126.95999999999999,146.36000000000001,158.09999999999999,146.84,138.69,152.72999999999999,130.90000000000001,109.7,112.75,133.0,108.48,116.78,116.91,120.39,116.03,110.47,100.38,82.939999999999998,84.890000000000001,72.75,47.200000000000003,49.009999999999998,50.380000000000003,56.530000000000001,61.149999999999999,56.520000000000003,61.25,77.989999999999995,75.170000000000002,69.730000000000004,80.950000000000003,86.030000000000001,89.719999999999999,88.189999999999998,95.909999999999997,85.75,76.819999999999993,65.400000000000006,56.799999999999997,54.700000000000003,76.680000000000007,72.739999999999995,73.400000000000006,75.989999999999995,70.599999999999994,69.599999999999994,75.969999999999999,73.170000000000002,64.25,83.290000000000006,67.620000000000005,68.950000000000003,67.189999999999998,87.040000000000006,94.879999999999995,87.439999999999998,97.359999999999999,88.060000000000002,81.909999999999997,111.08,98.049999999999997,122.59,114.31999999999999,116.26000000000001,116.97,108.02,118.83,94.640000000000001,71.629999999999995,72.700000000000003,39.439999999999998,53.549999999999997,68.870000000000005,60.020000000000003,64.920000000000002,62.409999999999997,54.770000000000003,51.329999999999998,41.369999999999997,38.289999999999999,43.659999999999997,34.200000000000003,39.57,35.719999999999999,43.18,45.479999999999997,48.560000000000002,60.340000000000003,57.32,53.759999999999998,54.439999999999998,62.859999999999999,61.969999999999999,57.329999999999998,49.0,58.979999999999997,69.629999999999995,62.630000000000003,43.759999999999998,44.700000000000003,49.43,48.170000000000002,53.390000000000001,45.170000000000002,42.390000000000001,54.07,62.960000000000001,67.329999999999998,46.979999999999997,54.850000000000001,46.450000000000003,42.549999999999997,27.559999999999999,34.340000000000003,40.18,48.0,39.450000000000003,38.649999999999999,28.59,33.409999999999997,31.100000000000001,35.130000000000003,48.119999999999997,41.090000000000003,39.609999999999999,28.379999999999999,32.109999999999999,30.140000000000001,40.68,35.030000000000001,37.0,34.840000000000003,40.43,43.789999999999999,46.049999999999997,45.450000000000003,33.420000000000002,41.829999999999998,42.960000000000001,48.100000000000001,36.210000000000001,34.259999999999998,41.710000000000001,30.050000000000001,40.829999999999998,42.469999999999999,42.049999999999997,41.359999999999999,37.039999999999999,31.43,30.489999999999998,23.32,28.140000000000001,22.149999999999999,25.620000000000001,29.210000000000001,39.780000000000001,55.799999999999997,38.770000000000003,31.940000000000001,23.0,24.82,24.629999999999999,30.760000000000002,33.659999999999997,27.02,34.799999999999997,32.869999999999997,36.329999999999998,37.219999999999999,37.880000000000003,38.450000000000003,35.399999999999999,33.259999999999998,35.539999999999999,40.740000000000002,36.880000000000003,40.170000000000002,26.440000000000001,30.309999999999999,36.549999999999997,33.590000000000003,37.109999999999999,38.25,27.890000000000001,34.740000000000002
Melhor Fitness,2103.0
Melhor Individuo,|['17', '60', '28', '#', '45', '41', '7', '48', '29', '#', '6', '14', '23', '4', '67', '27', '#', '10', '5', '32', '#', '56', '31', '2', '50', '15', '43', '54', '47', '#', '22', '16', '59', '13', '53', '25', '20', '#', '46', '55', '57', '26', '11', '8', '51', '18', '21', '30', '44', '#', '35', '12', '39', '24', '9', '52', '38', '19', '#', '34', '3', '42', '33', '66', '36', '65', '37', '40', '61', '58', '62', '63', '49', '64', '#']|
