|[u'taxa_crossover', 0.35]|,|[u'taxa_elitismo', 0.05]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.35]|,|[u'tipo_mutacao', 2]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 100]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Melhores,3398.0,3382.0,3382.0,3365.0,3365.0,3350.0,3214.0,3206.0,3107.0,3107.0,3107.0,3107.0,3107.0,3107.0,3089.0,3089.0,3070.0,3070.0,3039.0,3039.0,3039.0,2984.0,2984.0,2984.0,2984.0,2984.0,2984.0,2917.0,2917.0,2917.0,2913.0,2913.0,2913.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2856.0,2789.0,2782.0,2782.0,2782.0,2782.0,2778.0,2778.0,2744.0,2744.0,2744.0,2744.0,2730.0,2687.0,2687.0,2687.0,2687.0,2687.0,2687.0,2687.0,2687.0,2687.0,2687.0,2674.0,2674.0,2674.0,2674.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2617.0,2580.0,2555.0,2555.0,2549.0,2549.0,2536.0,2492.0,2492.0,2492.0,2492.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2440.0,2413.0,2413.0,2413.0,2400.0
Piores,4137.0,4203.0,4110.0,4110.0,4126.0,4064.0,4071.0,4071.0,4090.0,4071.0,4071.0,3962.0,3931.0,3931.0,3864.0,3847.0,3797.0,3688.0,3724.0,3683.0,3587.0,3705.0,3654.0,3660.0,3715.0,3680.0,3660.0,3659.0,3569.0,3569.0,3533.0,3513.0,3445.0,3509.0,3501.0,3501.0,3484.0,3513.0,3487.0,3455.0,3441.0,3377.0,3432.0,3464.0,3428.0,3428.0,3319.0,3306.0,3331.0,3371.0,3331.0,3366.0,3404.0,3411.0,3405.0,3364.0,3350.0,3359.0,3307.0,3347.0,3362.0,3402.0,3356.0,3334.0,3265.0,3265.0,3272.0,3368.0,3368.0,3343.0,3310.0,3370.0,3370.0,3295.0,3270.0,3232.0,3252.0,3252.0,3259.0,3383.0,3277.0,3259.0,3203.0,3203.0,3292.0,3292.0,3203.0,3203.0,3114.0,3069.0,3069.0,3039.0,3017.0,3018.0,3018.0,3017.0,3012.0,2940.0,3019.0
Média,3780.0500000000002,3758.8800000000001,3713.9099999999999,3712.5900000000001,3687.52,3686.9200000000001,3667.1199999999999,3612.1799999999998,3641.9299999999998,3624.5999999999999,3588.6300000000001,3539.6599999999999,3504.6999999999998,3438.02,3386.3000000000002,3360.7199999999998,3336.4000000000001,3302.96,3332.5799999999999,3305.5100000000002,3276.4299999999998,3250.9899999999998,3229.79,3259.0799999999999,3271.48,3277.5300000000002,3236.2600000000002,3230.5700000000002,3214.4400000000001,3210.4200000000001,3186.54,3171.5599999999999,3180.3400000000001,3145.8600000000001,3172.75,3196.5999999999999,3195.1199999999999,3194.7399999999998,3170.7199999999998,3118.0900000000001,3101.3400000000001,3100.8800000000001,3087.9699999999998,3107.0900000000001,3063.8000000000002,3053.0100000000002,3056.29,3020.4499999999998,3024.79,3032.8499999999999,3020.8200000000002,3033.6300000000001,3007.3000000000002,3026.71,3009.6100000000001,2991.9299999999998,2975.0999999999999,2972.4899999999998,2981.8800000000001,2966.7399999999998,2959.8200000000002,2978.3200000000002,2934.4000000000001,2968.6999999999998,2963.5700000000002,2956.7199999999998,2937.9400000000001,2981.1700000000001,2979.0500000000002,2946.5100000000002,2937.2399999999998,2918.4899999999998,2917.8899999999999,2885.3299999999999,2876.7600000000002,2876.77,2862.3099999999999,2850.3099999999999,2869.9699999999998,2848.3099999999999,2850.1399999999999,2818.4200000000001,2823.9299999999998,2810.6500000000001,2792.3400000000001,2776.1799999999998,2722.6599999999999,2743.2399999999998,2712.4899999999998,2702.0799999999999,2699.1199999999999,2692.3200000000002,2697.1399999999999,2706.1300000000001,2694.6300000000001,2686.2800000000002,2678.0700000000002,2647.1300000000001,2651.8200000000002
Desvio Padrão,197.38999999999999,217.41,213.88,206.22,225.0,222.18000000000001,226.12,244.66999999999999,255.22999999999999,258.31999999999999,251.75999999999999,232.18000000000001,240.34,251.69999999999999,249.18000000000001,236.59,219.77000000000001,185.22999999999999,181.94,184.40000000000001,178.37,190.00999999999999,182.93000000000001,175.34999999999999,204.93000000000001,208.77000000000001,201.21000000000001,185.12,178.13,182.78999999999999,182.53999999999999,165.31999999999999,159.81,160.69999999999999,160.16,168.78,167.93000000000001,162.25999999999999,177.97,169.5,170.84999999999999,157.87,170.88,169.69999999999999,176.96000000000001,175.41999999999999,146.09999999999999,135.41,146.44999999999999,156.40000000000001,158.37,154.19999999999999,174.90000000000001,182.53999999999999,185.05000000000001,183.56,168.30000000000001,180.47,179.96000000000001,177.62,190.25,189.27000000000001,188.38,184.55000000000001,170.25,173.16,170.97999999999999,193.68000000000001,210.69,201.36000000000001,191.84,180.31,188.41,183.53,171.84,178.12,181.72,192.56999999999999,183.53,187.91999999999999,188.18000000000001,186.49000000000001,199.99000000000001,207.59999999999999,220.53999999999999,205.47,203.63999999999999,198.66999999999999,178.19,187.09999999999999,174.81999999999999,158.37,142.78999999999999,156.53,159.16,156.34999999999999,156.03,157.81,151.37
Melhor Fitness,2400.0
Melhor Individuo,|['43', '54', '12', '36', '2', '9', '47', '#', '67', '#', '28', '27', '19', '38', '21', '35', '58', '61', '65', '#', '51', '5', '45', '23', '6', '59', '42', '#', '29', '48', '26', '10', '22', '56', '57', '#', '62', '4', '63', '40', '52', '24', '44', '11', '49', '46', '#', '13', '7', '41', '25', '66', '8', '34', '#', '55', '14', '53', '3', '18', '17', '60', '20', '39', '15', '37', '30', '32', '33', '50', '31', '16', '64', '#', '#']|
