|[u'taxa_crossover', 0.35]|,|[u'taxa_elitismo', 0.05]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.35]|,|[u'tipo_mutacao', 1]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 200]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Melhores,1754.0,1754.0,1754.0,1693.0,1754.0,1703.0,1703.0,1734.0,1734.0,1712.0,1593.0,1593.0,1593.0,1593.0,1629.0,1629.0,1631.0,1631.0,1560.0,1535.0,1614.0,1617.0,1668.0,1617.0,1617.0,1617.0,1555.0,1555.0,1555.0,1555.0,1542.0,1542.0,1542.0,1542.0,1542.0,1672.0,1672.0,1647.0,1649.0,1749.0,1701.0,1701.0,1701.0,1675.0,1500.0,1500.0,1500.0,1608.0,1608.0,1511.0,1511.0,1511.0,1511.0,1600.0,1686.0,1686.0,1514.0,1514.0,1514.0,1638.0,1638.0,1615.0,1591.0,1615.0,1584.0,1584.0,1584.0,1587.0,1587.0,1587.0,1557.0,1557.0,1557.0,1528.0,1494.0,1494.0,1494.0,1577.0,1577.0,1526.0,1526.0,1548.0,1562.0,1537.0,1537.0,1537.0,1537.0,1537.0,1515.0,1515.0,1515.0,1496.0,1496.0,1475.0,1496.0,1496.0,1496.0,1521.0,1521.0,1562.0,1562.0,1562.0,1494.0,1494.0,1504.0,1637.0,1603.0,1603.0,1603.0,1603.0,1604.0,1604.0,1533.0,1606.0,1626.0,1622.0,1622.0,1600.0,1611.0,1611.0,1581.0,1564.0,1564.0,1564.0,1549.0,1579.0,1606.0,1619.0,1628.0,1628.0,1628.0,1680.0,1596.0,1680.0,1656.0,1619.0,1603.0,1603.0,1603.0,1644.0,1644.0,1699.0,1675.0,1675.0,1675.0,1654.0,1654.0,1695.0,1641.0,1641.0,1641.0,1728.0,1736.0,1678.0,1678.0,1707.0,1652.0,1652.0,1671.0,1671.0,1671.0,1659.0,1622.0,1622.0,1622.0,1560.0,1560.0,1560.0,1560.0,1560.0,1607.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1682.0,1681.0,1681.0,1681.0,1654.0,1673.0,1665.0,1674.0,1674.0,1674.0,1675.0,1675.0,1644.0,1574.0,1606.0,1650.0,1641.0,1641.0,1635.0,1624.0,1624.0,1624.0
Piores,2501.0,2473.0,2465.0,2456.0,2452.0,2452.0,2429.0,2439.0,2444.0,2427.0,2396.0,2406.0,2481.0,2406.0,2353.0,2353.0,2381.0,2347.0,2258.0,2363.0,2258.0,2325.0,2299.0,2277.0,2246.0,2306.0,2214.0,2327.0,2327.0,2300.0,2261.0,2261.0,2362.0,2459.0,2361.0,2356.0,2331.0,2342.0,2342.0,2373.0,2323.0,2323.0,2323.0,2305.0,2306.0,2295.0,2368.0,2250.0,2263.0,2318.0,2318.0,2352.0,2267.0,2272.0,2270.0,2334.0,2352.0,2232.0,2328.0,2274.0,2436.0,2534.0,2488.0,2227.0,2182.0,2228.0,2233.0,2189.0,2211.0,2181.0,2188.0,2195.0,2153.0,2302.0,2286.0,2268.0,2222.0,2222.0,2186.0,2177.0,2201.0,2246.0,2238.0,2311.0,2298.0,2270.0,2280.0,2260.0,2276.0,2276.0,2259.0,2294.0,2233.0,2319.0,2211.0,2189.0,2132.0,2255.0,2255.0,2293.0,2262.0,2221.0,2216.0,2222.0,2240.0,2240.0,2327.0,2358.0,2327.0,2284.0,2371.0,2351.0,2353.0,2605.0,2469.0,2410.0,2448.0,2423.0,2417.0,2398.0,2265.0,2209.0,2146.0,2203.0,2226.0,2323.0,2271.0,2271.0,2251.0,2242.0,2271.0,2346.0,2241.0,2277.0,2274.0,2289.0,2289.0,2322.0,2330.0,2300.0,2331.0,2325.0,2297.0,2339.0,2288.0,2379.0,2319.0,2272.0,2265.0,2293.0,2300.0,2372.0,2298.0,2361.0,2383.0,2357.0,2441.0,2445.0,2334.0,2327.0,2393.0,2469.0,2453.0,2352.0,2336.0,2323.0,2383.0,2372.0,2290.0,2303.0,2322.0,2292.0,2361.0,2271.0,2275.0,2335.0,2336.0,2360.0,2375.0,2420.0,2329.0,2338.0,2330.0,2340.0,2283.0,2331.0,2328.0,2347.0,2289.0,2444.0,2410.0,2310.0,2255.0,2279.0,2246.0,2296.0,2207.0,2177.0,2276.0
Média,2232.0500000000002,2188.8600000000001,2160.7399999999998,2131.73,2099.6500000000001,2080.8699999999999,2096.52,2065.6300000000001,2053.3200000000002,2029.8199999999999,2035.97,2091.1199999999999,2078.4899999999998,2063.4899999999998,2023.3099999999999,2027.1900000000001,2024.27,2006.76,1965.25,1947.53,1932.02,1970.8599999999999,1951.01,1943.8900000000001,1953.6500000000001,1941.6700000000001,1905.9100000000001,1933.77,1951.6199999999999,1956.1700000000001,1950.4000000000001,1997.0999999999999,2037.3299999999999,1981.77,1994.3,1980.8499999999999,2016.3900000000001,2020.5999999999999,2038.97,2046.78,1999.72,1998.52,2015.95,2013.5999999999999,1999.29,1953.21,1953.6600000000001,1924.78,1937.1199999999999,1936.1500000000001,1937.6099999999999,1950.01,1970.0799999999999,1942.8299999999999,1939.0899999999999,1970.96,1962.55,1986.9400000000001,1998.2,1981.98,1987.9000000000001,1998.6900000000001,1932.3699999999999,1877.74,1892.23,1879.1300000000001,1874.54,1879.3900000000001,1903.49,1888.0699999999999,1881.2,1855.0899999999999,1889.6300000000001,1897.6500000000001,1905.0699999999999,1934.6500000000001,1885.02,1886.03,1884.03,1873.52,1919.49,1917.95,1915.0599999999999,1911.97,1920.01,1934.5599999999999,1916.4000000000001,1890.79,1880.5799999999999,1872.9400000000001,1876.8,1866.1400000000001,1841.1600000000001,1812.4200000000001,1840.8499999999999,1864.7,1870.0899999999999,1882.9000000000001,1897.05,1922.01,1926.52,1940.3399999999999,1942.1400000000001,1921.54,1926.73,1937.4000000000001,1994.8,1988.5599999999999,2004.3,1994.24,2000.74,1979.1300000000001,1967.52,2018.3299999999999,2005.3499999999999,1999.5,2013.0799999999999,1990.9200000000001,2013.25,1942.72,1891.28,1867.8499999999999,1895.03,1900.51,1895.2,1941.6099999999999,1921.8499999999999,1957.0799999999999,1954.01,1948.49,1974.9000000000001,1949.7,1973.8299999999999,1977.6900000000001,1974.6700000000001,1944.8399999999999,1934.4200000000001,1952.1099999999999,1963.5,1992.48,1990.9100000000001,1987.3900000000001,2009.23,1998.48,1982.5999999999999,1988.6099999999999,1997.6900000000001,1991.05,1980.3900000000001,2032.9300000000001,2042.3199999999999,2045.1400000000001,2051.8000000000002,2093.5,2101.6700000000001,2086.7800000000002,2063.1500000000001,2038.6300000000001,2005.3499999999999,2003.3,2018.3800000000001,2012.79,2004.28,2008.76,1977.5699999999999,1981.9000000000001,1972.1900000000001,1981.03,1968.5,1951.4000000000001,1967.28,1969.8699999999999,1957.75,1990.8199999999999,2014.6300000000001,2016.0599999999999,2014.23,2012.76,2025.25,2042.3399999999999,1991.0999999999999,1969.3499999999999,1980.3499999999999,1998.1400000000001,1987.4100000000001,2007.3099999999999,1997.26,2005.0699999999999,1974.4100000000001,1958.8599999999999,1953.9000000000001,1957.8699999999999,1965.3900000000001,1958.53,1944.3900000000001,1916.47,1897.6600000000001,1865.98,1892.3800000000001
Desvio Padrão,164.40000000000001,172.41,185.18000000000001,204.88,180.62,175.13999999999999,172.93000000000001,184.47,177.22999999999999,207.58000000000001,179.56999999999999,196.52000000000001,191.88,193.28,181.5,164.66,168.66999999999999,174.83000000000001,174.19,172.78,186.36000000000001,187.53,167.03999999999999,160.40000000000001,152.72999999999999,157.22,161.63999999999999,172.77000000000001,184.53,192.25,189.97,165.78999999999999,201.90000000000001,216.61000000000001,188.16,169.00999999999999,159.34,172.16999999999999,186.06999999999999,173.28,186.13,158.77000000000001,144.22,150.37,165.02000000000001,188.19,213.46000000000001,169.91,161.25,165.47,175.47,175.28,178.44,175.03,166.66999999999999,159.84,183.77000000000001,164.15000000000001,178.06,170.27000000000001,203.47999999999999,221.84999999999999,218.19,169.34999999999999,158.84999999999999,181.74000000000001,158.47999999999999,165.19999999999999,166.58000000000001,179.78999999999999,172.44999999999999,173.44999999999999,167.40000000000001,182.93000000000001,200.00999999999999,155.78,149.11000000000001,151.25,146.63999999999999,137.34,169.69999999999999,170.91,183.16,210.12,196.88999999999999,210.68000000000001,199.08000000000001,187.86000000000001,179.91,199.36000000000001,210.41,202.63,185.5,197.44999999999999,151.15000000000001,150.66999999999999,140.53999999999999,167.03999999999999,180.11000000000001,174.13999999999999,176.66999999999999,169.28,173.72,196.41,187.96000000000001,166.83000000000001,165.91,172.81999999999999,178.84,186.06,166.19999999999999,191.97999999999999,189.24000000000001,240.47999999999999,206.06,203.05000000000001,219.75,223.63,207.19999999999999,195.78999999999999,182.40000000000001,142.38999999999999,141.86000000000001,161.59999999999999,177.21000000000001,165.78,170.75999999999999,162.72999999999999,161.38,171.30000000000001,174.08000000000001,147.36000000000001,161.24000000000001,144.09,157.25999999999999,177.52000000000001,174.38999999999999,158.13999999999999,181.81999999999999,157.21000000000001,150.09,153.58000000000001,148.08000000000001,144.18000000000001,149.06,175.55000000000001,168.34,165.43000000000001,146.05000000000001,171.21000000000001,154.44,153.96000000000001,141.96000000000001,145.83000000000001,148.36000000000001,160.41999999999999,177.91999999999999,188.88999999999999,177.66999999999999,186.49000000000001,203.38999999999999,212.47999999999999,194.22,182.91,181.28999999999999,175.15000000000001,175.38999999999999,191.63999999999999,178.53,184.59999999999999,192.75,154.74000000000001,148.00999999999999,158.84999999999999,174.63999999999999,165.71000000000001,176.41,174.08000000000001,173.94999999999999,176.63999999999999,167.5,187.69,156.24000000000001,146.24000000000001,145.68000000000001,177.63999999999999,180.40000000000001,170.06,160.28,170.88,184.21000000000001,159.19999999999999,155.03999999999999,157.56999999999999,136.21000000000001,155.59999999999999,140.30000000000001,139.44999999999999,139.66999999999999
Melhor Fitness,1475.0
Melhor Individuo,|['#', '#', '27', '3', '10', '30', '16', '31', '15', '9', '19', '29', '13', '#', '6', '32', '22', '7', '12', '23', '4', '14', '25', '20', '18', '2', '#', '17', '28', '21', '24', '5', '11', '26', '8']|
