|[u'taxa_crossover', 0.35]|,|[u'taxa_elitismo', 0.05]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.35]|,|[u'tipo_mutacao', 1]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 200]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Melhores,3606.0,3606.0,3547.0,3547.0,3547.0,3544.0,3526.0,3521.0,3387.0,3514.0,3473.0,3529.0,3548.0,3548.0,3480.0,3462.0,3462.0,3520.0,3520.0,3527.0,3479.0,3479.0,3446.0,3391.0,3391.0,3391.0,3416.0,3387.0,3445.0,3324.0,3324.0,3324.0,3324.0,3324.0,3216.0,3216.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3084.0,3154.0,3154.0,3155.0,3155.0,3122.0,3122.0,3191.0,3132.0,3132.0,3134.0,3134.0,3134.0,3117.0,3117.0,3117.0,3117.0,3069.0,3069.0,3069.0,3069.0,3089.0,3072.0,3072.0,3072.0,3054.0,3004.0,3004.0,3004.0,3075.0,3075.0,3075.0,3075.0,3075.0,3075.0,3030.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3224.0,3224.0,3172.0,3224.0,3169.0,3198.0,3198.0,3177.0,3177.0,3177.0,3177.0,3177.0,3288.0,3288.0,3250.0,3250.0,3250.0,3250.0,3250.0,3157.0,3267.0,3300.0,3300.0,3300.0,3300.0,3339.0,3339.0,3358.0,3367.0,3362.0,3404.0,3404.0,3433.0,3404.0,3386.0,3386.0,3386.0,3386.0,3304.0,3369.0,3400.0,3380.0,3364.0,3337.0,3310.0,3323.0,3323.0,3314.0,3284.0,3284.0,3299.0,3299.0,3221.0,3221.0,3234.0,3234.0,3234.0,3234.0,3209.0,3209.0,3244.0,3244.0,3244.0,3279.0,3279.0,3279.0,3279.0,3279.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3267.0,3322.0,3055.0,3055.0,3055.0,3055.0,3091.0,3319.0,3319.0,3319.0,3316.0,3319.0,3307.0,3271.0,3271.0,3277.0,3175.0,3175.0,3274.0,3258.0,3216.0,3216.0,3168.0,3168.0,3168.0,3263.0,3240.0,3240.0,3240.0,3263.0,3194.0,3194.0,3194.0
Piores,4499.0,4437.0,4461.0,4377.0,4379.0,4329.0,4407.0,4294.0,4511.0,4362.0,4362.0,4323.0,4261.0,4297.0,4279.0,4279.0,4325.0,4348.0,4373.0,4350.0,4350.0,4303.0,4241.0,4241.0,4262.0,4296.0,4302.0,4324.0,4324.0,4279.0,4279.0,4339.0,4276.0,4276.0,4260.0,4307.0,4210.0,4221.0,4243.0,4195.0,4180.0,4162.0,4302.0,4283.0,4283.0,4283.0,4269.0,4228.0,4195.0,4173.0,4218.0,4165.0,4146.0,4069.0,4082.0,4102.0,4115.0,4215.0,4206.0,4180.0,4212.0,4054.0,4152.0,4096.0,4096.0,4097.0,4122.0,4034.0,4088.0,4068.0,4067.0,4130.0,4074.0,4146.0,4156.0,4146.0,4126.0,4112.0,4112.0,4150.0,3986.0,3986.0,3965.0,4117.0,4117.0,4062.0,4062.0,4062.0,4143.0,4102.0,4066.0,4127.0,4062.0,4083.0,4049.0,4134.0,4064.0,4039.0,4129.0,4092.0,4291.0,4168.0,4168.0,4131.0,4113.0,4042.0,4101.0,4068.0,4098.0,4228.0,4174.0,4185.0,4144.0,4135.0,4185.0,4167.0,4106.0,4241.0,4161.0,4188.0,4254.0,4254.0,4251.0,4212.0,4248.0,4248.0,4310.0,4187.0,4232.0,4259.0,4330.0,4343.0,4352.0,4323.0,4225.0,4212.0,4176.0,4198.0,4176.0,4176.0,4168.0,4069.0,4044.0,4042.0,4024.0,4000.0,3999.0,4127.0,4142.0,4142.0,4142.0,4096.0,4333.0,4204.0,4093.0,4131.0,4146.0,4087.0,4065.0,4023.0,4144.0,4144.0,4144.0,4167.0,4021.0,4100.0,4118.0,4171.0,4130.0,4130.0,4100.0,4140.0,4127.0,4258.0,4269.0,4290.0,4259.0,4223.0,4318.0,4377.0,4377.0,4219.0,4244.0,4219.0,4180.0,4180.0,4174.0,4174.0,4213.0,4213.0,4233.0,4171.0,4171.0,4152.0,4152.0,4192.0,4189.0,4121.0,4151.0
Média,4060.96,4015.29,3966.9899999999998,3972.8499999999999,4003.5900000000001,3989.5799999999999,3988.71,3975.6599999999999,3951.7600000000002,3920.52,3871.8499999999999,3839.5,3882.3400000000001,3895.9699999999998,3885.75,3908.9899999999998,3893.8600000000001,3917.3200000000002,3876.8200000000002,3909.4899999999998,3885.3600000000001,3896.6300000000001,3880.2800000000002,3852.1199999999999,3884.0300000000002,3859.77,3805.7800000000002,3782.25,3797.8200000000002,3769.98,3750.3200000000002,3790.1700000000001,3805.2199999999998,3775.9699999999998,3782.3499999999999,3752.1399999999999,3780.1799999999998,3764.3400000000001,3762.4699999999998,3760.3299999999999,3757.1900000000001,3792.48,3849.8200000000002,3833.21,3807.3099999999999,3771.96,3752.4899999999998,3709.9000000000001,3687.4899999999998,3683.04,3675.5500000000002,3677.8400000000001,3689.1300000000001,3675.0900000000001,3667.8699999999999,3688.5500000000002,3688.6399999999999,3641.9099999999999,3631.0799999999999,3614.1999999999998,3601.5100000000002,3614.6300000000001,3631.4699999999998,3637.0599999999999,3624.0100000000002,3629.6700000000001,3601.79,3604.3800000000001,3606.5799999999999,3595.8600000000001,3606.1100000000001,3623.5500000000002,3609.0100000000002,3544.1599999999999,3560.6300000000001,3549.9400000000001,3563.77,3539.8400000000001,3557.9699999999998,3560.2199999999998,3539.8099999999999,3567.8000000000002,3569.3499999999999,3577.3800000000001,3582.3000000000002,3630.3299999999999,3646.5300000000002,3620.46,3642.04,3651.3200000000002,3670.5500000000002,3661.3899999999999,3633.1300000000001,3616.8899999999999,3597.79,3626.2199999999998,3655.6599999999999,3660.25,3672.3800000000001,3683.5999999999999,3697.1399999999999,3704.0,3665.2199999999998,3670.5599999999999,3667.8400000000001,3655.0599999999999,3614.8600000000001,3649.25,3662.9699999999998,3662.6900000000001,3701.6599999999999,3730.9699999999998,3719.4400000000001,3748.29,3748.6399999999999,3708.7800000000002,3739.71,3753.75,3791.98,3764.8000000000002,3804.23,3790.9400000000001,3800.1399999999999,3784.6799999999998,3780.2600000000002,3756.4099999999999,3777.1500000000001,3798.9200000000001,3795.77,3823.6700000000001,3788.2600000000002,3812.8800000000001,3834.1900000000001,3798.6399999999999,3793.8499999999999,3750.0900000000001,3707.6599999999999,3671.71,3706.1500000000001,3699.7800000000002,3716.0,3678.6599999999999,3675.4400000000001,3638.2600000000002,3626.3499999999999,3632.8899999999999,3612.0100000000002,3621.77,3653.5999999999999,3652.27,3652.1500000000001,3616.8699999999999,3639.4400000000001,3664.3299999999999,3617.6999999999998,3644.2399999999998,3652.8699999999999,3635.3200000000002,3639.8800000000001,3626.6799999999998,3650.04,3638.0900000000001,3645.4699999999998,3661.9099999999999,3695.6300000000001,3694.3899999999999,3751.79,3727.0500000000002,3718.5999999999999,3735.3899999999999,3763.3800000000001,3783.52,3747.6599999999999,3794.3200000000002,3789.04,3809.6900000000001,3791.48,3770.25,3783.3400000000001,3800.77,3840.04,3809.0300000000002,3822.5500000000002,3774.3299999999999,3712.3800000000001,3699.9499999999998,3697.0999999999999,3701.0799999999999,3675.21,3635.1100000000001,3678.9899999999998,3721.8899999999999,3697.3600000000001,3698.2600000000002,3724.4299999999998,3723.9099999999999,3720.6999999999998,3728.4400000000001,3718.1300000000001
Desvio Padrão,221.83000000000001,214.55000000000001,212.09,193.52000000000001,203.63999999999999,209.02000000000001,217.30000000000001,217.0,233.16,224.97,221.74000000000001,213.81999999999999,176.05000000000001,185.58000000000001,202.97,213.22,198.36000000000001,198.0,195.12,200.65000000000001,210.13999999999999,200.72,208.91,205.53,210.06,249.12,256.43000000000001,245.72,205.38,224.22,208.59,221.68000000000001,220.78999999999999,231.50999999999999,253.59999999999999,271.14999999999998,260.60000000000002,256.94999999999999,241.41,209.47,186.22,183.25,235.41999999999999,246.43000000000001,253.15000000000001,307.06999999999999,290.16000000000003,275.51999999999998,291.81999999999999,203.15000000000001,203.00999999999999,213.06999999999999,235.44,240.75,209.34,233.63999999999999,243.65000000000001,257.38,264.93000000000001,266.68000000000001,244.16999999999999,240.63,226.24000000000001,217.65000000000001,233.47999999999999,242.83000000000001,237.31999999999999,235.19999999999999,266.73000000000002,289.39999999999998,266.55000000000001,285.89999999999998,292.86000000000001,289.19999999999999,313.76999999999998,266.02999999999997,268.25,245.68000000000001,246.88999999999999,234.81999999999999,216.99000000000001,227.63999999999999,238.55000000000001,263.94999999999999,246.25999999999999,217.53,207.88999999999999,219.31,240.40000000000001,244.12,215.38,227.59999999999999,259.14999999999998,240.38999999999999,193.40000000000001,195.50999999999999,205.78999999999999,216.94,249.38999999999999,258.16000000000003,251.16999999999999,232.94999999999999,229.63,196.75,193.5,203.59,210.34,210.69,226.28,233.28999999999999,247.80000000000001,231.62,202.55000000000001,207.78999999999999,238.15000000000001,211.22,220.78999999999999,235.97999999999999,258.97000000000003,254.81999999999999,231.66,239.97,234.02000000000001,223.94,181.47999999999999,189.28,194.25,186.72,231.16,270.64999999999998,248.37,232.31,250.47999999999999,259.74000000000001,242.43000000000001,257.22000000000003,238.97,227.44,233.40000000000001,218.22,209.08000000000001,201.46000000000001,229.02000000000001,224.41,204.62,183.05000000000001,181.63999999999999,211.59,227.69,253.84999999999999,229.56999999999999,213.72999999999999,234.00999999999999,227.44,207.63,199.03,218.25,201.12,199.53999999999999,196.44999999999999,191.12,219.81,206.12,206.11000000000001,200.94999999999999,206.31999999999999,201.43000000000001,215.91999999999999,208.59999999999999,205.34,209.63999999999999,267.07999999999998,276.85000000000002,245.78,259.41000000000003,229.18000000000001,237.84,262.83999999999997,258.20999999999998,263.81999999999999,255.86000000000001,246.40000000000001,284.49000000000001,268.14999999999998,259.17000000000002,254.12,263.11000000000001,285.44999999999999,308.12,261.41000000000003,231.69,217.5,239.74000000000001,230.69,219.06999999999999,231.90000000000001,239.94999999999999,246.58000000000001,257.06
Melhor Fitness,3004.0
Melhor Individuo,|['#', '15', '32', '57', '46', '#', '41', '53', '26', '25', '13', '64', '2', '#', '16', '8', '12', '34', '27', '4', '37', '60', '20', '48', '61', '39', '38', '33', '21', '40', '42', '36', '65', '58', '47', '50', '#', '28', '35', '10', '52', '63', '#', '7', '31', '5', '3', '6', '56', '59', '14', '30', '51', '43', '54', '#', '62', '22', '17', '29', '55', '#', '18', '49', '24', '44', '23', '19', '9', '11', '45', '#']|
