|[u'taxa_crossover', 1]|,|[u'taxa_elitismo', 0.1]|,|[u'execucao', 1]|,|[u'taxa_mutacao', 1]|,|[u'tipo_mutacao', 3]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'tipo_crossover', 4]|,|[u'geracoes', 10]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9
Melhores,1682.0,1651.0,1651.0,1651.0,1651.0,1651.0,1632.0,1632.0,1632.0
Piores,2572.0,2627.0,2754.0,2718.0,2505.0,2414.0,2476.0,2443.0,2538.0
Média,2203.6399999999999,2216.3400000000001,2172.98,2193.98,2152.3699999999999,2112.5700000000002,2076.6199999999999,2087.6700000000001,2094.6100000000001
Desvio Padrão,198.75999999999999,218.62,212.72,205.02000000000001,184.08000000000001,174.31999999999999,180.97,190.30000000000001,184.09
