|[u'taxa_crossover', 0.2]|,|[u'taxa_elitismo', 0.2]|,|[u'execucao', 3]|,|[u'alfa', 1]|,|[u'taxa_mutacao', 0.6]|,|[u'tipo_mutacao', 1]|,|[u'c_variation', 4]|,|[u'tipo_selecao', 1]|,|[u'n_torneio', 5]|,|[u'troca_populacao', 1]|,|[u'mean_variation', 50]|,|[u'tipo_crossover', 5]|,|[u'geracoes', 100]|,|[u'tamanho_pop', 100]|
geracções,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Melhores,1808.0,1735.0,1759.0,1752.0,1730.0,1730.0,1730.0,1730.0,1730.0,1730.0,1730.0,1781.0,1781.0,1764.0,1764.0,1721.0,1721.0,1703.0,1703.0,1708.0,1759.0,1759.0,1759.0,1765.0,1765.0,1767.0,1767.0,1751.0,1746.0,1751.0,1658.0,1658.0,1658.0,1658.0,1651.0,1725.0,1632.0,1592.0,1567.0,1567.0,1528.0,1528.0,1564.0,1494.0,1494.0,1634.0,1634.0,1634.0,1634.0,1578.0,1578.0,1581.0,1581.0,1510.0,1510.0,1572.0,1645.0,1645.0,1645.0,1570.0,1570.0,1570.0,1641.0,1580.0,1580.0,1580.0,1580.0,1580.0,1548.0,1580.0,1613.0,1695.0,1610.0,1704.0,1599.0,1599.0,1599.0,1599.0,1675.0,1675.0,1675.0,1675.0,1675.0,1703.0,1703.0,1721.0,1721.0,1697.0,1804.0,1772.0,1737.0,1737.0,1711.0,1679.0,1679.0,1675.0,1537.0,1537.0,1609.0
Piores,2458.0,2441.0,2427.0,2360.0,2471.0,2388.0,2408.0,2384.0,2506.0,2504.0,2387.0,2399.0,2403.0,2422.0,2403.0,2342.0,2381.0,2453.0,2453.0,2395.0,2462.0,2434.0,2519.0,2533.0,2482.0,2482.0,2482.0,2482.0,2482.0,2451.0,2451.0,2439.0,2431.0,2448.0,2367.0,2396.0,2426.0,2316.0,2369.0,2386.0,2369.0,2289.0,2470.0,2470.0,2491.0,2486.0,2389.0,2389.0,2399.0,2399.0,2336.0,2472.0,2443.0,2375.0,2399.0,2330.0,2347.0,2464.0,2544.0,2570.0,2560.0,2560.0,2560.0,2330.0,2360.0,2440.0,2450.0,2450.0,2471.0,2363.0,2410.0,2410.0,2247.0,2340.0,2234.0,2249.0,2377.0,2362.0,2480.0,2358.0,2281.0,2274.0,2314.0,2314.0,2314.0,2230.0,2258.0,2517.0,2370.0,2358.0,2312.0,2276.0,2224.0,2271.0,2312.0,2288.0,2350.0,2332.0,2420.0
Média,2135.6399999999999,2083.4299999999998,2080.5999999999999,2086.4400000000001,2060.25,2069.3299999999999,2063.5700000000002,2080.21,2097.9499999999998,2030.74,2036.5699999999999,2038.46,2075.9000000000001,2044.74,2050.5300000000002,2051.5900000000001,2035.0799999999999,2042.76,2040.6900000000001,1996.3699999999999,2051.3800000000001,2053.5700000000002,2044.3499999999999,2041.6900000000001,2037.8499999999999,2048.8299999999999,2021.5,2040.29,2016.3499999999999,2002.01,1992.4000000000001,1976.6800000000001,1981.3900000000001,2013.5999999999999,1937.0999999999999,2044.1500000000001,1930.4300000000001,1893.1300000000001,1964.0599999999999,2004.1300000000001,1960.3800000000001,1989.27,2004.3900000000001,1990.1400000000001,1957.1800000000001,1976.99,1950.74,2023.1700000000001,2027.4300000000001,2011.8099999999999,2057.73,1946.55,1962.47,1920.8699999999999,1890.46,1935.98,1982.0,2009.4400000000001,1992.5799999999999,2025.1099999999999,2007.1300000000001,2009.1700000000001,1986.9000000000001,1977.6900000000001,1977.55,2052.4200000000001,1988.4200000000001,2002.21,2000.23,2044.3599999999999,1965.0899999999999,1935.8299999999999,1919.73,1943.8199999999999,2016.8,1970.3699999999999,2041.8599999999999,1962.01,1959.8099999999999,1949.21,2008.9100000000001,1992.5999999999999,1972.8099999999999,1950.6500000000001,1994.5999999999999,1992.01,1997.21,2001.1099999999999,2007.46,1992.74,1955.0699999999999,1937.5699999999999,1921.26,1935.9200000000001,1959.8599999999999,1963.9400000000001,1969.1900000000001,2001.95,1970.72
Desvio Padrão,177.61000000000001,184.16,160.43000000000001,174.87,162.03,180.33000000000001,177.06999999999999,161.27000000000001,171.61000000000001,160.25999999999999,173.97,167.74000000000001,160.15000000000001,163.13999999999999,134.53,170.40000000000001,162.31,180.49000000000001,166.78,156.84999999999999,159.5,166.99000000000001,144.77000000000001,154.69999999999999,151.56,176.59999999999999,178.83000000000001,188.69,180.68000000000001,172.80000000000001,172.65000000000001,172.44999999999999,173.16999999999999,179.88999999999999,182.30000000000001,182.72999999999999,184.34,204.94,135.38999999999999,160.83000000000001,169.16999999999999,214.77000000000001,230.13,203.78,201.33000000000001,175.66999999999999,176.41999999999999,167.22999999999999,175.41,193.74000000000001,201.69,185.34,191.83000000000001,218.22999999999999,218.93000000000001,172.68000000000001,192.12,206.53999999999999,190.46000000000001,201.22999999999999,183.66999999999999,234.38999999999999,185.12,141.24000000000001,165.21000000000001,187.97,181.38,156.86000000000001,156.99000000000001,192.12,164.28999999999999,133.61000000000001,143.56,132.22999999999999,163.59999999999999,152.08000000000001,202.43000000000001,187.88,187.08000000000001,154.34,141.18000000000001,178.0,157.08000000000001,156.65000000000001,125.45999999999999,146.94,155.58000000000001,184.44999999999999,140.66999999999999,133.5,155.06999999999999,151.28999999999999,158.09999999999999,169.83000000000001,161.90000000000001,146.66999999999999,188.44,181.47,193.77000000000001
Melhor Fitness,1494.0
Melhor Individuo,|['#', '#', '5', '10', '15', '18', '3', '29', '9', '23', '19', '#', '25', '11', '12', '24', '17', '20', '32', '2', '16', '31', '#', '28', '30', '21', '6', '26', '13', '22', '4', '14', '27', '7', '8']|
